input_text,target_text
"Incident Type: network_latency_timeout
Services: OrderService
Hosts: None
IPs: None
Commands: None","Root Cause: Network latency spike (~300ms) caused request timeouts in OrderService.
Resolution: Confirmed recovery once latency returned to normal levels.
Preventive Action: Add end-to-end tracing and network performance alerts."
"Incident Type: security_failed_logins
Services: None
Hosts: None
IPs: 203.0.113.14
Commands: None","Root Cause: Brute-force login attempts from 203.0.113.14 targeting svc_app via WebLogin.
Resolution: Blocked 203.0.113.14 at the firewall and locked svc_app temporarily.
Preventive Action: Configure account lockout policies and MFA for privileged accounts."
"Incident Type: network_latency_timeout
Services: Gateway
Hosts: None
IPs: None
Commands: None","Root Cause: Upstream network instability led to timeouts observed in Gateway.
Resolution: Observed stabilization after investigating network metrics and dependencies.
Preventive Action: Implement retry/backoff and alert on upstream latency spikes."
"Incident Type: db_connection_failure
Services: PaymentService
Hosts: db-server-1
IPs: None
Commands: None","Root Cause: Database service on db-server-1 was unavailable (connection refused).
Resolution: Restarted mysql service to restore connectivity.
Preventive Action: Add DB health checks and connection retry/backoff."
"Incident Type: security_failed_logins
Services: None
Hosts: None
IPs: 203.0.113.14
Commands: None","Root Cause: Brute-force login attempts from 203.0.113.14 targeting root via VPN.
Resolution: Temporarily blocked 203.0.113.14, forced password reset for root, and monitored alerts.
Preventive Action: Configure account lockout policies and MFA for privileged accounts."
"Incident Type: db_connection_failure
Services: OrderService
Hosts: db-server-2
IPs: None
Commands: None","Root Cause: Database host db-server-2 stopped responding to connections.
Resolution: Restarted the database service (postgresql) and verified connections.
Preventive Action: Add circuit breaker + retries in the application."
"Incident Type: security_failed_logins
Services: None
Hosts: None
IPs: 203.0.113.14
Commands: None","Root Cause: Suspicious login activity from 203.0.113.14 triggered account lockouts for root.
Resolution: Blocked 203.0.113.14 at the firewall and locked root temporarily.
Preventive Action: Add bot protection/rate limits and alert on abnormal login patterns."
"Incident Type: disk_full
Services: None
Hosts: vm-9
IPs: None
Commands: None","Root Cause: Disk exhaustion on vm-9 caused write failures for ImageProcessor.
Resolution: Freed disk space by removing old data and confirmed stability.
Preventive Action: Configure log rotation and disk usage alerts."
"Incident Type: cpu_timeout
Services: SearchService
Hosts: vm-9
IPs: None
Commands: None","Root Cause: High CPU usage on vm-9 caused SearchService timeouts.
Resolution: Restarted SearchService deployment.
Preventive Action: Configure HPA and set CPU thresholds."
"Incident Type: cpu_timeout
Services: UserService
Hosts: node-2
IPs: None
Commands: None","Root Cause: High CPU usage on node-2 caused UserService timeouts.
Resolution: Restarted UserService deployment.
Preventive Action: Tune resource limits/requests and add alerts."
"Incident Type: db_connection_failure
Services: OrderService
Hosts: db-server-1
IPs: None
Commands: None","Root Cause: DB service disruption on db-server-1 led to application errors.
Resolution: Restarted postgresql service to restore connectivity.
Preventive Action: Add failover strategy and improve DB uptime monitoring."
"Incident Type: cpu_timeout
Services: InventoryService
Hosts: node-4
IPs: None
Commands: None","Root Cause: High CPU usage on node-4 caused InventoryService timeouts.
Resolution: Restarted InventoryService deployment.
Preventive Action: Investigate load spike and add scaling policy."
"Incident Type: db_connection_failure
Services: PaymentService
Hosts: db-server-2
IPs: None
Commands: None","Root Cause: Database service on db-server-2 was unavailable (connection refused).
Resolution: Restarted postgresql service to restore connectivity.
Preventive Action: Set up DB replication/failover and monitor connection errors."
"Incident Type: security_failed_logins
Services: None
Hosts: None
IPs: 203.0.113.14
Commands: None","Root Cause: High-rate failed logins from 203.0.113.14 caused security alerts on WebLogin.
Resolution: Enabled rate limiting and blocked 203.0.113.14 to stop repeated failures.
Preventive Action: Add bot protection/rate limits and alert on abnormal login patterns."
"Incident Type: cpu_timeout
Services: UserService
Hosts: vm-7
IPs: None
Commands: None","Root Cause: High CPU usage on vm-7 caused UserService timeouts.
Resolution: Restarted UserService deployment.
Preventive Action: Add rate limiting and investigate traffic spikes."
"Incident Type: disk_full
Services: None
Hosts: node-6
IPs: None
Commands: None","Root Cause: Uncontrolled log growth filled disk on node-6, impacting ETLWorker.
Resolution: Cleared old logs and temporary files to free disk space.
Preventive Action: Alert earlier (e.g., 80% disk) and review capacity."
"Incident Type: disk_full
Services: OrderService
Hosts: node-4
IPs: None
Commands: None","Root Cause: Disk exhaustion on node-4 caused write failures for OrderService.
Resolution: Cleared old logs and temporary files to free disk space.
Preventive Action: Configure log rotation and disk usage alerts."
"Incident Type: db_connection_failure
Services: AuthService
Hosts: db-server-2
IPs: None
Commands: None","Root Cause: Database host db-server-2 stopped responding to connections.
Resolution: Performed DB service restart (mysql) and confirmed recovery.
Preventive Action: Add failover strategy and improve DB uptime monitoring."
